WEEK;YEAR;MONTH;WEEK_NUMBER;DATE
"01-21";2021;1;1;domingo, 10 de enero de 2021
"01-22";2022;1;1;domingo, 9 de enero de 2022
"01-23";2023;1;1;lunes, 9 de enero de 2023
"02-21";2021;1;2;domingo, 17 de enero de 2021
"02-22";2022;1;2;domingo, 16 de enero de 2022
"02-23";2023;1;2;lunes, 16 de enero de 2023
"03-21";2021;1;3;domingo, 24 de enero de 2021
"03-22";2022;1;3;domingo, 23 de enero de 2022
"03-23";2023;1;3;lunes, 23 de enero de 2023
"04-21";2021;1;4;domingo, 31 de enero de 2021
"04-22";2022;1;4;domingo, 30 de enero de 2022
"04-23";2023;1;4;lunes, 30 de enero de 2023
"05-21";2021;2;5;domingo, 7 de febrero de 2021
"05-22";2022;2;5;domingo, 6 de febrero de 2022
"05-23";2023;2;5;lunes, 6 de febrero de 2023
"06-21";2021;2;6;domingo, 14 de febrero de 2021
"06-22";2022;2;6;domingo, 13 de febrero de 2022
"06-23";2023;2;6;lunes, 13 de febrero de 2023
"07-21";2021;2;7;domingo, 21 de febrero de 2021
"07-22";2022;2;7;domingo, 20 de febrero de 2022
"07-23";2023;2;7;lunes, 20 de febrero de 2023
"08-21";2021;2;8;domingo, 28 de febrero de 2021
"08-22";2022;2;8;domingo, 27 de febrero de 2022
"08-23";2023;2;8;lunes, 27 de febrero de 2023
"09-21";2021;3;9;domingo, 7 de marzo de 2021
"09-22";2022;3;9;domingo, 6 de marzo de 2022
"09-23";2023;3;9;lunes, 6 de marzo de 2023
"10-21";2021;3;10;domingo, 14 de marzo de 2021
"10-22";2022;3;10;domingo, 13 de marzo de 2022
"10-23";2023;3;10;lunes, 13 de marzo de 2023
"11-21";2021;3;11;domingo, 21 de marzo de 2021
"11-22";2022;3;11;domingo, 20 de marzo de 2022
"11-23";2023;3;11;lunes, 20 de marzo de 2023
"12-21";2021;3;12;domingo, 28 de marzo de 2021
"12-22";2022;3;12;domingo, 27 de marzo de 2022
"12-23";2023;3;12;lunes, 27 de marzo de 2023
"13-21";2021;3;13;domingo, 4 de abril de 2021
"13-22";2022;4;13;domingo, 3 de abril de 2022
"13-23";2023;4;13;lunes, 3 de abril de 2023
"14-21";2021;4;14;domingo, 11 de abril de 2021
"14-22";2022;4;14;domingo, 10 de abril de 2022
"14-23";2023;4;14;lunes, 10 de abril de 2023
"15-21";2021;4;15;domingo, 18 de abril de 2021
"15-22";2022;4;15;domingo, 17 de abril de 2022
"15-23";2023;4;15;lunes, 17 de abril de 2023
"16-21";2021;4;16;domingo, 25 de abril de 2021
"16-22";2022;4;16;domingo, 24 de abril de 2022
"16-23";2023;4;16;lunes, 24 de abril de 2023
"17-21";2021;4;17;domingo, 2 de mayo de 2021
"17-22";2022;5;17;domingo, 1 de mayo de 2022
"17-23";2023;5;17;lunes, 1 de mayo de 2023
"18-21";2021;5;18;domingo, 9 de mayo de 2021
"18-22";2022;5;18;domingo, 8 de mayo de 2022
"18-23";2023;5;18;lunes, 8 de mayo de 2023
"19-21";2021;5;19;domingo, 16 de mayo de 2021
"19-22";2022;5;19;domingo, 15 de mayo de 2022
"19-23";2023;5;19;lunes, 15 de mayo de 2023
"20-21";2021;5;20;domingo, 23 de mayo de 2021
"20-22";2022;5;20;domingo, 22 de mayo de 2022
"20-23";2023;5;20;lunes, 22 de mayo de 2023
"21-21";2021;5;21;domingo, 30 de mayo de 2021
"21-22";2022;5;21;domingo, 29 de mayo de 2022
"21-23";2023;5;21;lunes, 29 de mayo de 2023
"22-21";2021;6;22;domingo, 6 de junio de 2021
