MANUFACTURER;BRAND;ITEM_DESCRIPTION;FORMAT;ATTR1;ATTR2;ATTR3;CATEGORY;ITEM_CODE
"INDS. ALEN";"CLORALEX";"CLORALEX EL RENDIDOR BOT.PLAST. 250ML NAL. 0000075000592";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000592"
"INDS. ALEN";"CLORALEX";"CLORALEX EL RENDIDOR BOT.PLAST. 500ML NAL. 0000075000608";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000608"
"INDS. ALEN";"CLORALEX";"CLORALEX EL RENDIDOR BOT.PLAST. 950ML NAL. 0000075000615";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000615"
"INDS. ALEN";"CLORALEX";"CLORALEX EL RENDIDOR BOT.PLAST. 2000ML NAL 0000075000622";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000622"
"INDS. ALEN";"CLORALEX";"CLORALEX EL RENDIDOR BOT.PLAST. 3750ML NAL 0000075000639";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000639"
"INDS. ALEN";"CLORALEX";"CLORALEX FRESCURA CITRICA  BOT PLAST 950ML NAL 0000075000677";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000677"
"INDS. ALEN";"CLORALEX";"CLORALEX FRESCURA CITRICA BOT PLAST 2000ML NAL 0000075000684";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0000075000684"
"CLOROX";"CLOROX";"CLOROX ULTIMATE  CARE BOTELLA 887 ML IMP 0044600016924";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0044600016924"
"INDS. ALEN";"CLORALEX";"CLORALEX REGULAR BOT 950 ML NAL 0123456808218";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0123456808218"
"OTHERS FABRICANTE UNIF.";"OTHERS MARCA UNIF.";"BOGAMAR CLORO BOT PLAS 980ML NAL 0616533000525";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0616533000525"
"OTHERS FABRICANTE UNIF.";"OTHERS MARCA UNIF.";"LA S TOTALLY AWESOME BLANQ. REGULAR GALON 3780 ML 0722429128034";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0722429128034"
"OTHERS FABRICANTE UNIF.";"OTHERS MARCA UNIF.";"SEVENTH GENERATION CLORO LIBRE DE BLANQUEADOR GALON 1.89LT 0732913227013";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0732913227013"
"OTHERS FABRICANTE UNIF.";"OTHERS MARCA UNIF.";"LA ANITA BLANQUEADOR REGULAR 3.785ML GALON NAL 0737128047005";"LIQUIDO";"CLORO";"CLORO";"NO DEFINIDO";1;"0737128047005"
